IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type;lineItem/LineItemDescription;
Storage;File Storage;Managed Service;File System Throughput;Throughput Capacity;AmazonFSx;%ThroughputCapacity;;
Storage;File Storage;Managed Service;File System Storage;Storage Capacity;AmazonFSx;%Storage;;
Storage;File Storage;Managed Service;Backup File System;Backup Usage;AmazonFSx;%BackupUsage;;
Storage;File Storage;Managed Service;Regional Data Transfer;Data Transfer;AmazonFSx;%DataTransfer-Regional-Bytes;;
Storage;Archive Storage;Long-Term Archive;Archival Storage;Tax Charges;AmazonGlacier;;Tax%;
Storage;Archive Storage;Long-Term Archive;Data Storage;Storage Usage;AmazonGlacier;%Bytes;;
Storage;Archive Storage;Long-Term Archive;Provisioned Retrieval Capacity;Provisioned Capacity;AmazonGlacier;%ProvisionedCapacityUnit;;
Storage;Archive Storage;Long-Term Archive;Storage Duration;Storage Duration;AmazonGlacier;%TimedStorage-ByteHrs;;
Storage;Archive Storage;Long-Term Archive;Archive Retrieval Requests;Retrieval Requests(T3);AmazonGlacier;%Requests-Tier3;;
Storage;Archive Storage;Long-Term Archive;Archive Retrieval Requests;Retrieval Requests(T1);AmazonGlacier;%Requests-Tier1;;
Storage;Archive Storage;Long-Term Archive;Early Deletion Fee;Early Delete Charge;AmazonGlacier;%EarlyDelete%;;
Security;Threat Detection;Managed Detection;Threat Detection;Tax Charges;AmazonGuardDuty;;Tax%;
Security;Threat Detection;Managed Detection;Free Event Analysis;Free Event Analysis Usage;AmazonGuardDuty;%FreeEventsAnalyzed;;
Security;Threat Detection;Managed Detection;Paid Event Analysis;Paid Event Analysis Usage;AmazonGuardDuty;%PaidEventsAnalyzed;;
Security;Threat Detection;Managed Detection;Free Event Analysis by Data Volume;Free Event Analysis Data Usage;AmazonGuardDuty;%FreeEventsAnalyzed-Bytes;;
Security;Threat Detection;Managed Detection;Paid Event Analysis by Data Volume;Paid Event Analysis Data Usage;AmazonGuardDuty;%PaidEventsAnalyzed-Bytes;;
Security;Security and Identity;Secutiry Assesment;Agent based Assesment;Agent based Assesment Usage;AmazonInspector;%agent-assessments%;;
Security;Security and Identity;Secutiry Assesment;Network based Assesment;Network Assesment Usage;AmazonInspector;%network-assessments%;;
Compute;Developer Tools;Application Hosting;Data Transfer Out;Outbound Data Transfer Usage;AWSAmplify;%DataTransferOut;;
Compute;Developer Tools;Build and Deploy;Build Duration;Build Time Usage;AWSAmplify;%BuildDuration;;
Storage;Storage and Backup;Backup Storage;Cold Storage Early Deletion;Early Deletion Usage;AWSBackup;%EarlyDelete-Cold%;;
Storage;Storage and Backup;Backup Storage;Cold Storage Restore;Cold  Restore Usage;AWSBackup;%Restore-Cold%;;
Storage;Storage and Backup;Backup Storage;Cold Storage;Cold Storage Usage;AWSBackup;%ColdStorage%;;
Storage;Storage and Backup;Backup Storage;Warm Storage Restore;Warm Restore Usage;AWSBackup;%Restore-Warm%;;
Storage;Storage and Backup;Backup Storage;Warm Storage;Warm Storage Usage;AWSBackup;%WarmStorage%;;
Compute;Database;Database Acceleration;Node Usage;Node Hours Usage;AmazonDAX;%NodeUsage%;;
Database;Database;Amazon DynamoDB;Managed Database;Tax Charges;AmazonDynamoDB;;Tax%;
Database;Database;Amazon DynamoDB;Write Capacity;Write Capacity Usage;AmazonDynamoDB;%WriteCapacityUnit-Hrs;;
Database;Database;Amazon DynamoDB;Read Capacity;Read Capacity Usage;AmazonDynamoDB;%ReadCapacityUnit-Hrs;;
Database;Database;Amazon DynamoDB;Restore Storage;Restore Data Usage;AmazonDynamoDB;%RestoreDataSize-Bytes;;
Database;Database;Amazon DynamoDB;Stream Requests;Stream Requests Usage;AmazonDynamoDB;%Streams-Requests;;
Database;Database;Amazon DynamoDB;Write Requests;Write Requests Usage;AmazonDynamoDB;%WriteRequestUnits;;
Database;Database;Amazon DynamoDB;Read Requests;Read Requests Usage;AmazonDynamoDB;%ReadRequestUnits;;
Compute;Compute;Container Orchestration;Managed Kubernetes;Tax Charges;AmazonEKS;;Tax%;
Compute;Compute;Container Orchestration;Fargate Compute;Fargate vCPU Usage;AmazonEKS;%Fargate-vCPU-Hours%;;
Compute;Compute;Container Orchestration;Fargate Memory Usage;Fargate Memory Usage;AmazonEKS;%Fargate-GB-Hours;;
Compute;Compute;Container Orchestration;EKS Cluster Hours;Cluster Hours Usage;AmazonEKS;%AmazonEKS-Hours:perCluster;;
Compute;AI and ML;ML;Notebook Usage;Notebook Instance Usage;AmazonSageMaker;%Notebk:%;;
Compute;AI and ML;ML;Training Compute Usage;Training Instance Usage;AmazonSageMaker;%Train:%;;
Compute;AI and ML;ML;Processing Jobs;Processing Instance Usage;AmazonSageMaker;%Processing%;;
Compute;AI and ML;ML;Data Transformation;Transformation Instance Hours;AmazonSageMaker;%Tsform%;;
Compute;AI and ML;ML;Traigning Support Services;Training Support Instance Hours;AmazonSageMaker;%TrSpt%;;
Compute;AI and ML;ML;Model Hosting;Hosting Instance Hours;AmazonSageMaker;%Host:%;;
Compute;AI and ML;ML;Data Labeling;Labeled Data Processing Hours;AmazonSageMaker;%LabeledObject;;
